id	categories	faces	native 0.5.0 after	native final after	verdict(native)	audit 0.5.0 flagged steps	audit final flagged steps	ASan final	WASM 0.5.0	WASM final
36090	clean	584	wt/h0/c1/z0/v10404.9	wt/h0/c1/z0/v10404.9	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
37211	nmV,nmE,degen,dup,multi,selfint	2226	wt/h0/c2/z0/v9724.7	wt/h0/c2/z0/v9724.7	same	0	0	completed	wt/h0/c2/z0	wt/h0/c2/z0
37825	nmV,nmE	162	wt/h0/c1/z0/v30354.3	wt/h0/c1/z0/v30322.5	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
39759	open,degen,multi,selfint	3074	open/h1/c5/z11/v316197.1	wt/h0/c5/z0/v316194.4	better:wt,holes-,degen-	0	0	completed	open/h1/c5/z11	wt/h0/c5/z0
39950	clean	4120	wt/h0/c1/z0/v10018.1	wt/h0/c1/z0/v10018.2	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
40009	open	4311	open/h1/c1/z0/v25439.1	open/h1/c1/z0/v25439.2	same	0	0	completed	open/h1/c1/z0	open/h1/c1/z0
40017	nmV,nmE,degen,dup,multi,selfint	3530	wt/h0/c4/z15/v15869.1	wt/h0/c4/z0/v15869.2	better:degen-	0	0	completed	wt/h0/c4/z15	wt/h0/c4/z0
40119	clean	4288	wt/h0/c1/z0/v4981.9	wt/h0/c1/z0/v4981.8	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
40992	clean	56528	wt/h0/c1/z13/v2775	wt/h0/c1/z0/v2774.9	better:degen-	0	0	completed	wt/h0/c1/z13	wt/h0/c1/z0
43190	clean	15690	wt/h0/c1/z0/v169252.2	wt/h0/c1/z0/v169252	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
43549	open,selfint	2780	wt/h0/c1/z0/v8264	wt/h0/c1/z0/v8264	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
43989	open,selfint	1450	wt/h0/c1/z0/v1854.1	wt/h0/c1/z0/v1854.1	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
44059	degen,selfint	928	wt/h0/c1/z3/v17377.5	wt/h0/c1/z0/v19216.2	better:degen-	0	0	completed	wt/h0/c1/z3	wt/h0/c1/z0
44100	clean	472	wt/h0/c1/z0/v22063.2	wt/h0/c1/z0/v22063.2	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
45009	clean	2360	wt/h0/c1/z0/v384	wt/h0/c1/z0/v384	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
45139	nmV,nmE,dup,multi,selfint	7176	wt/h0/c2/z0/v52368.8	wt/h0/c2/z0/v52368.8	same	0	0	completed	wt/h0/c2/z0	wt/h0/c2/z0
45404	clean	5016	wt/h0/c1/z0/v3568.2	wt/h0/c1/z0/v3568.2	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
45613	clean	208	wt/h0/c1/z0/v8695.3	wt/h0/c1/z0/v8695.3	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
45803	nmV,nmE,degen,multi,unoriented,selfint	3808	wt/h0/c2/z3/v711.1	wt/h0/c2/z0/v711.1	better:degen-	0	0	completed	wt/h0/c2/z3	wt/h0/c2/z0
46024	nmV,open,selfint	319898	open/h2/c1/z0/v156278	open/h2/c1/z0/v156294.2	same	0	0	completed	open/h2/c1/z0	open/h2/c1/z0
46025	open	319200	open/h1/c1/z0/v156832.7	open/h1/c1/z0/v156845.4	same	0	0	completed	open/h1/c1/z0	open/h1/c1/z0
46259	nmV,nmE,degen,dup,multi,selfint	5292	open/h4/c11/z8/v584870.6	wt/h0/c11/z0/v587530.8	better:wt,holes-,degen-	0	0	completed	open/h4/c11/z8	wt/h0/c11/z0
47565	multi,selfint	1336	open/h1/c2/z2/v11973.8	wt/h0/c2/z0/v2819.3	better:wt,holes-,degen-	0	0	completed	open/h1/c2/z2	wt/h0/c2/z0
48132	clean	572	wt/h0/c1/z2/v16062.4	wt/h0/c1/z0/v16062.4	better:degen-	0	0	completed	wt/h0/c1/z2	wt/h0/c1/z0
48340	multi	452	wt/h0/c2/z0/v13175	wt/h0/c2/z0/v13175	same	0	0	completed	wt/h0/c2/z0	wt/h0/c2/z0
48352	open	9156	open/h1/c1/z0/v9942.1	open/h1/c1/z0/v9942.1	same	0	0	completed	open/h1/c1/z0	open/h1/c1/z0
49208	clean	12828	wt/h0/c1/z4/v8155.2	wt/h0/c1/z0/v8155.3	better:degen-	0	0	completed	wt/h0/c1/z4	wt/h0/c1/z0
49422	nmV,nmE,degen,unoriented,selfint	700	wt/h0/c1/z4/v11226.9	wt/h0/c1/z0/v11226.9	better:degen-	0	0	completed	wt/h0/c1/z4	wt/h0/c1/z0
49528	degen,selfint	7470	wt/h0/c1/z75/v4085.8	wt/h0/c1/z0/v4085.8	better:degen-	0	0	completed	wt/h0/c1/z75	wt/h0/c1/z0
50740	open,selfint	1832	wt/h0/c1/z0/v17693.8	wt/h0/c1/z0/v17693.6	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
51472	nmV,nmE,dup,multi,unoriented,selfint	6222	wt/h0/c6/z0/v2725.8	wt/h0/c2/z0/v2726.9	better:comps-	0	0	completed	wt/h0/c6/z0	wt/h0/c2/z0
51509	multi	2944	wt/h0/c2/z0/v55686	wt/h0/c2/z0/v55686	same	0	0	completed	wt/h0/c2/z0	wt/h0/c2/z0
52135	clean	4	-	-	n/a	0	0	(>20MB, skipped)	wt/h0/c1/z0	wt/h0/c1/z0
53242	open	10164	wt/h0/c1/z2/v8496.4	wt/h0/c1/z0/v8496.4	better:degen-	0	0	completed	wt/h0/c1/z2	wt/h0/c1/z0
53466	open,selfint	3048	wt/h0/c1/z0/v6157.1	wt/h0/c1/z0/v6157.1	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
53949	nmV,selfint	3556	wt/h0/c2/z0/v7553.4	wt/h0/c2/z0/v7550.9	same	0	0	completed	wt/h0/c2/z0	wt/h0/c2/z0
54215	clean	812	wt/h0/c1/z0/v7938.3	wt/h0/c1/z0/v7938.3	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
54226	multi	212	wt/h0/c2/z0/v120192	wt/h0/c2/z0/v120192	same	0	0	completed	wt/h0/c2/z0	wt/h0/c2/z0
55262	clean	1348	wt/h0/c1/z0/v77909.4	wt/h0/c1/z0/v77909.4	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
56497	clean	1120	wt/h0/c1/z0/v6522.5	wt/h0/c1/z0/v6522.5	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
57332	multi	2884	wt/h0/c7/z0/v2423.1	wt/h0/c7/z0/v2423	same	0	0	completed	wt/h0/c7/z0	wt/h0/c7/z0
58072	clean	284	wt/h0/c1/z0/v8815	wt/h0/c1/z0/v8815	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
58392	degen,selfint	644	wt/h0/c1/z5/v5758.6	wt/h0/c1/z0/v5758.6	better:degen-	0	0	completed	wt/h0/c1/z5	wt/h0/c1/z0
59158	multi	1820	wt/h0/c4/z0/v4702.7	wt/h0/c4/z0/v4702.6	same	0	0	completed	wt/h0/c4/z0	wt/h0/c4/z0
60265	clean	608	wt/h0/c1/z0/v2231.2	wt/h0/c1/z0/v2231.2	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
60268	nmV,nmE,dup,unoriented,selfint	250	open/h4/c5/z0/v689.2	open/h2/c2/z0/v3057.4	better:holes-,comps-	0	0	completed	open/h4/c5/z0	open/h2/c2/z0
60584	clean	996	wt/h0/c1/z0/v3371.1	wt/h0/c1/z0/v3371.1	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
61431	clean	436	wt/h0/c1/z0/v14894.2	wt/h0/c1/z0/v14894.1	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
61435	degen,selfint	1044	wt/h0/c1/z4/v37699.3	wt/h0/c1/z0/v37699.3	better:degen-	0	0	completed	wt/h0/c1/z4	wt/h0/c1/z0
61759	degen,multi,selfint	8392	wt/h0/c4/z2/v10764.1	wt/h0/c4/z0/v10764.1	better:degen-	0	0	completed	wt/h0/c4/z2	wt/h0/c4/z0
62998	multi	1920	wt/h0/c2/z4/v40578.4	wt/h0/c2/z0/v40578.4	better:degen-	0	0	completed	wt/h0/c2/z4	wt/h0/c2/z0
63277	multi,selfint	5588	wt/h0/c2/z0/v13450.9	wt/h0/c2/z0/v13450.9	same	0	0	completed	wt/h0/c2/z0	wt/h0/c2/z0
63506	open,selfint	132	wt/h0/c1/z0/v17153.1	wt/h0/c1/z0/v17153.2	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
65444	clean	4608	wt/h0/c1/z0/v7496.1	wt/h0/c1/z0/v7496.1	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
65608	clean	318	wt/h0/c1/z0/v633.4	wt/h0/c1/z0/v633.4	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
65643	clean	284	wt/h0/c1/z0/v24284.7	wt/h0/c1/z0/v24284.7	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
65904	multi	157726	wt/h0/c3/z37/v42563912	wt/h0/c3/z0/v42564244	better:degen-	0	0	completed	wt/h0/c3/z37	wt/h0/c3/z0
66485	clean	12156	wt/h0/c1/z0/v19974.8	wt/h0/c1/z0/v19974.8	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
67885	nmV,nmE,dup,multi,selfint	348	open/h1/c3/z0/v10050.3	open/h1/c3/z0/v10050.3	same	0	0	completed	open/h1/c3/z0	open/h1/c3/z0
68370	clean	2858	wt/h0/c1/z0/v52.8	wt/h0/c1/z0/v52.8	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
68651	clean	204	wt/h0/c1/z0/v1916.4	wt/h0/c1/z0/v1916.4	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
68706	selfint	67878	wt/h0/c1/z0/v13047.8	wt/h0/c1/z0/v13047.9	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
68813	clean	584	wt/h0/c1/z0/v22973.7	wt/h0/c1/z0/v22973.7	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
69107	multi,selfint	1986	wt/h0/c2/z0/v11420.2	wt/h0/c2/z0/v11420.2	same	0	0	completed	wt/h0/c2/z0	wt/h0/c2/z0
69268	multi,selfint	30320	wt/h0/c2/z7/v179345.5	wt/h0/c2/z0/v179341.2	better:degen-	0	0	completed	wt/h0/c2/z7	wt/h0/c2/z0
69707	selfint	107926	wt/h0/c1/z17/v68213.2	wt/h0/c1/z0/v68212.7	better:degen-	0	0	completed	wt/h0/c1/z17	wt/h0/c1/z0
70746	open,degen,multi,selfint	2160	wt/h0/c12/z18/v6583	wt/h0/c12/z0/v6579.9	better:degen-	0	0	completed	wt/h0/c12/z18	wt/h0/c12/z0
71162	open,multi,selfint	8188	wt/h0/c2/z0/v18061.3	wt/h0/c2/z0/v18061.2	same	0	0	completed	wt/h0/c2/z0	wt/h0/c2/z0
72087	multi,selfint	41714	wt/h0/c2/z7/v84621	wt/h0/c2/z0/v84622.9	better:degen-	0	0	completed	wt/h0/c2/z7	wt/h0/c2/z0
72216	selfint	1828	wt/h0/c1/z0/v31699.3	wt/h0/c1/z0/v31699.4	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
72612	nmV,nmE,degen,unoriented	1344	wt/h0/c1/z0/v3615	wt/h0/c1/z0/v3615	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
72665	clean	20220	wt/h0/c1/z0/v96026.1	wt/h0/c1/z0/v96026.5	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
73163	clean	922	wt/h0/c1/z0/v107526.5	wt/h0/c1/z0/v107526	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
73335	nmV,nmE,open,degen,unoriented	150	open/h1/c2/z0/v1836.5	wt/h0/c2/z0/v1779.9	better:wt,holes-	0	0	completed	open/h1/c2/z0	wt/h0/c2/z0
73412	clean	3350	wt/h0/c1/z0/v75528.9	wt/h0/c1/z0/v75528.9	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
