customEvent:face_count | customEvent:file_size_mb | deviceCategory | operatingSystem | customEvent:repair_type | eventCount
135409 | 6.9 | desktop | Macintosh | auto | 4
1567437 | 76.8 | desktop | Windows | auto | 3
24392 | 1.2 | desktop | Macintosh | auto | 3
259637 | 14.1 | desktop | Windows | auto | 3
372331 | 17.9 | desktop | Windows | auto | 3
479469 | 23.9 | desktop | Windows | auto | 3
615705 | 32.2 | desktop | Windows | auto | 3
1002660 | 51.1 | desktop | Windows | auto | 2
1054088 | 50.5 | desktop | Macintosh | auto | 2
1054088 | 50.5 | desktop | Macintosh | fillHoles | 2
1172743 | 65.1 | desktop | Windows | auto | 2
126831 | 6.8 | desktop | Windows | auto | 2
136199 | 14.3 | desktop | Windows | auto | 2
1455718 | 70.5 | desktop | Windows | auto | 2
147789 | 10.2 | desktop | Windows | auto | 2
149555 | 8.5 | desktop | Windows | auto | 2
157015 | 10.2 | desktop | Macintosh | auto | 2
17578 | 0.9 | desktop | Windows | auto | 2
178876 | 8.5 | desktop | Windows | fillHoles | 2
1808391 | 87.2 | desktop | Windows | auto | 2
18687 | 0.9 | desktop | Windows | auto | 2
19177 | 1.5 | desktop | Macintosh | auto | 2
1991984 | 95 | desktop | Windows | auto | 2
20908 | 1.7 | desktop | Windows | auto | 2
219790 | 11.1 | desktop | Windows | auto | 2
245749 | 13.2 | desktop | Windows | auto | 2
246153 | 29.8 | desktop | Windows | auto | 2
272063 | 13 | desktop | Windows | auto | 2
283005 | 14.6 | desktop | Windows | auto | 2
36284 | 2.1 | desktop | Windows | auto | 2
367048 | 20.3 | desktop | Windows | auto | 2
406248 | 20 | desktop | Windows | auto | 2
406793 | 20.4 | desktop | Windows | auto | 2
412899 | 20.5 | desktop | Windows | auto | 2
471906 | 24.3 | desktop | Windows | auto | 2
501444 | 24 | desktop | Windows | auto | 2
51853 | 2.5 | desktop | Windows | fillHoles | 2
537752 | 31.7 | desktop | Windows | auto | 2
556102 | 26.7 | desktop | Windows | auto | 2
560111 | 28.4 | desktop | Windows | auto | 2
660216 | 36.3 | desktop | Windows | auto | 2
709458 | 34.6 | desktop | Windows | auto | 2
709724 | 34 | desktop | Windows | auto | 2
759912 | 37.4 | desktop | Windows | auto | 2
760059 | 38.7 | desktop | Macintosh | auto | 2
760508 | 41.1 | desktop | Windows | auto | 2
79238 | 4 | desktop | Windows | auto | 2
797018 | 38.9 | desktop | Windows | auto | 2
806775 | 42.1 | desktop | Windows | auto | 2
878333 | 42.5 | desktop | Windows | auto | 2
90495 | 4.4 | desktop | Windows | auto | 2
95121 | 6.5 | desktop | Windows | auto | 2
100367 | 5.4 | desktop | Linux | auto | 1
100729 | 7.8 | desktop | Macintosh | auto | 1
101697 | 5.7 | desktop | Windows | auto | 1
102028 | 5.5 | desktop | Windows | auto | 1
1022592 | 50.3 | desktop | Windows | auto | 1
1049100 | 57.9 | desktop | Windows | auto | 1
1049100 | 57.9 | desktop | Windows | fillHoles | 1
106292 | 6.9 | desktop | Macintosh | auto | 1
1063205 | 68.9 | mobile | Android | fillHoles | 1
108963 | 5.2 | desktop | Macintosh | fillHoles | 1
1093285 | 52.2 | desktop | Macintosh | auto | 1
1095993 | 52.3 | desktop | Windows | auto | 1
11568 | 0.6 | desktop | Windows | auto | 1
117089 | 7.2 | desktop | Windows | auto | 1
117583 | 6.2 | desktop | Windows | auto | 1
1214785 | 58.1 | desktop | Macintosh | auto | 1
12196 | 0.6 | desktop | Windows | auto | 1
1244674 | 59.8 | desktop | Macintosh | auto | 1
126488 | 8.8 | desktop | Windows | auto | 1
128147 | 7.3 | desktop | Windows | auto | 1
129446 | 6.7 | desktop | Windows | auto | 1
12955 | 0.7 | desktop | Windows | fillHoles | 1
129951 | 11.6 | desktop | Macintosh | auto | 1
130460 | 6.7 | desktop | Windows | auto | 1
1356276 | 73.3 | desktop | Windows | auto | 1
1374736 | 65.7 | desktop | Windows | auto | 1
1378139 | 65.7 | desktop | Macintosh | auto | 1
1378139 | 65.8 | desktop | Macintosh | fillHoles | 1
1420041 | 68.9 | mobile | Android | auto | 1
1420041 | 68.9 | mobile | Android | fillHoles | 1
14420 | 0.8 | desktop | Windows | auto | 1
144455 | 7.3 | desktop | Windows | auto | 1
1444934 | 68.9 | desktop | Windows | fillHoles | 1
1467544 | 75.6 | desktop | Macintosh | fillHoles | 1
1483014 | 99.1 | desktop | Windows | auto | 1
149654 | 8.2 | desktop | Windows | auto | 1
150477 | 7.2 | desktop | Windows | auto | 1
1536296 | 77.3 | desktop | Windows | auto | 1
15924 | 0.8 | desktop | Windows | auto | 1
168513 | 8.3 | desktop | Windows | auto | 1
171169 | 8.8 | desktop | Macintosh | auto | 1
175773 | 12.7 | desktop | Macintosh | auto | 1
1790986 | 89.4 | desktop | Windows | auto | 1
182804 | 9.5 | desktop | Windows | auto | 1
186250 | 9.3 | desktop | Windows | auto | 1
189187 | 9.4 | mobile | Android | auto | 1
190444 | 9.7 | desktop | Macintosh | auto | 1
192364 | 11 | desktop | Macintosh | auto | 1
192581 | 10.4 | desktop | Windows | auto | 1
192581 | 10.4 | desktop | Windows | fillHoles | 1
1957052 | 97.6 | desktop | Windows | auto | 1
1965501 | 94.1 | desktop | Windows | auto | 1
1988313 | 97.3 | desktop | Windows | auto | 1
1991984 | 95 | desktop | Windows | fillHoles | 1
2050607 | 98.2 | desktop | Linux | auto | 1
208136 | 10.2 | desktop | Windows | auto | 1
208137 | 10.2 | desktop | Windows | auto | 1
218299 | 10.9 | desktop | Windows | auto | 1
21875 | 1.2 | desktop | Macintosh | auto | 1
221442 | 11.9 | desktop | Windows | auto | 1
231305 | 12.4 | desktop | Macintosh | fillHoles | 1
236216 | 11.6 | desktop | Macintosh | auto | 1
23688 | 1.3 | desktop | Linux | auto | 1
244707 | 12.2 | desktop | Windows | auto | 1
25479 | 1.3 | desktop | Windows | auto | 1
262863 | 18.8 | desktop | Windows | auto | 1
262863 | 18.8 | desktop | Windows | fillHoles | 1
266669 | 13.6 | desktop | Windows | auto | 1
289522 | 20.5 | desktop | Windows | auto | 1
294402 | 15 | desktop | Windows | auto | 1
297106 | 16.3 | desktop | Macintosh | auto | 1
309300 | 16.8 | desktop | Windows | auto | 1
310573 | 16.1 | desktop | Windows | auto | 1
31295 | 4.6 | desktop | Windows | auto | 1
31500 | 1.7 | desktop | Windows | auto | 1
31500 | 1.7 | desktop | Windows | fillHoles | 1
34740 | 1.7 | desktop | Windows | auto | 1
356078 | 24.5 | desktop | Linux | auto | 1
36051 | 1.9 | desktop | Windows | auto | 1
362758 | 25.8 | desktop | Windows | auto | 1
372676 | 20.8 | desktop | Windows | auto | 1
376859 | 18.9 | desktop | Windows | auto | 1
394276 | 25.6 | desktop | Windows | auto | 1
39578 | 1.9 | desktop | Windows | auto | 1
39633 | 2.1 | desktop | Macintosh | auto | 1
405806 | 21.3 | desktop | Windows | auto | 1
