customEvent:face_count | deviceCategory | eventCount
1472690 | desktop | 24
703406 | desktop | 23
463942 | desktop | 11
263762 | desktop | 9
7870 | desktop | 9
118221 | desktop | 8
2194 | desktop | 8
463963 | desktop | 8
136199 | desktop | 7
1420041 | mobile | 7
25204 | desktop | 7
308172 | desktop | 7
51853 | desktop | 7
1054088 | desktop | 6
1372116 | desktop | 6
1499994 | desktop | 6
1861324 | desktop | 6
190654 | mobile | 6
518059 | desktop | 6
523918 | desktop | 6
57571 | desktop | 6
703584 | desktop | 6
79238 | desktop | 6
83244 | desktop | 6
8940 | desktop | 6
124636 | desktop | 5
15101 | desktop | 5
1677207 | desktop | 5
1896760 | desktop | 5
1968890 | desktop | 5
2044144 | desktop | 5
494521 | desktop | 5
500014 | desktop | 5
515446 | desktop | 5
525023 | desktop | 5
540791 | desktop | 5
638969 | desktop | 5
76232 | desktop | 5
85237 | desktop | 5
870852 | desktop | 5
90495 | desktop | 5
108 | desktop | 4
1108118 | desktop | 4
111782 | desktop | 4
1329946 | mobile | 4
135409 | desktop | 4
1378139 | desktop | 4
1459696 | mobile | 4
1683428 | desktop | 4
1878104 | desktop | 4
192 | desktop | 4
1942617 | desktop | 4
1989396 | mobile | 4
1991984 | desktop | 4
244294 | desktop | 4
24648 | desktop | 4
262863 | desktop | 4
272063 | desktop | 4
3428 | desktop | 4
358502 | desktop | 4
3599 | desktop | 4
36051 | desktop | 4
429540 | desktop | 4
471906 | desktop | 4
47684 | desktop | 4
479469 | desktop | 4
48762 | desktop | 4
499254 | desktop | 4
506788 | desktop | 4
52778 | desktop | 4
548346 | desktop | 4
681250 | desktop | 4
878333 | desktop | 4
88922 | desktop | 4
1000042 | mobile | 3
101539 | desktop | 3
1033854 | desktop | 3
108968 | desktop | 3
1098594 | desktop | 3
1101613 | desktop | 3
1172586 | desktop | 3
11749 | desktop | 3
11835 | desktop | 3
120478 | desktop | 3
13625 | desktop | 3
1390607 | desktop | 3
1396847 | desktop | 3
1454138 | desktop | 3
